no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber,panjang_soal,panjang_jawaban,panjang_konteks,kata_soal,kata_jawaban,jenis_pertanyaan,kompleksitas
221,air,penguapan,apa yang terjadi pada terjadi pada air saat terkena panas matahari?,air akan menguap menjadi uap air saat terkena panas matahari.,genangan air berkurang saat siang hari.,penguapan adalah bagian dari daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,67,61,38,11,10,apa,Kompleks
222,air,penguapan,kenapa yang terjadi pada air saat terkena panas matahari?,air berubah wujud menjadi uap air ketika mendapat panas matahari.,genangan air berkurang saat siang hari.,penguapan adalah bagian dari daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,57,65,38,9,10,lainnya,Sedang
223,air,penguapan,kenapa yang terjadi pada air saat terkena panas matahari itu penting?,panas matahari membuat air menguap ke udara.,genangan air berkurang saat siang hari.,penguapan adalah bagian dari daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,69,44,38,11,7,lainnya,Kompleks
224,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan kegunaan air?,"kegunaan air adalah membantu kehidupan manusia, hewan, dan tumbuhan.",kita memakai air saat menyiram tanaman.,air merupakan kebutuhan pokok manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,38,68,38,6,9,apa,Mudah
225,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air bersih?,"air bersih adalah air yang jernih, tidak berbau, dan aman digunakan.",air untuk minum harus bersih dan jernih.,air bersih penting untuk kesehatan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,36,68,35,6,11,apa,Mudah
226,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan memasak?,memasak adalah kegiatan mengolah bahan makanan dengan panas hingga matang.,air dipakai untuk merebus sayuran.,air menjadi bagian penting di dapur.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,33,74,36,5,10,apa,Mudah
227,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air hujan?,air hujan adalah air yang turun dari awan ke permukaan bumi.,tetesan hujan membasahi kebun.,air hujan termasuk bagian dari daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,35,60,40,6,11,apa,Mudah
228,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air kotor?,air kotor adalah air yang tercemar dan tidak layak digunakan langsung.,air selokan yang keruh adalah contoh air kotor.,air kotor tidak baik dipakai minum.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,35,70,35,6,11,apa,Mudah
229,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air bagi tumbuhan?,"air bagi tumbuhan dibutuhkan untuk fotosintesis, tumbuh, dan tetap segar.",tanaman layu jika tidak disiram.,air sangat penting bagi kehidupan tumbuhan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,43,73,43,7,10,apa,Sedang
230,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air tanah?,air tanah adalah air yang tersimpan di bawah permukaan bumi.,sumur mengambil air dari air tanah.,air tanah menjadi cadangan air bagi manusia.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,35,60,44,6,10,apa,Mudah
231,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan awan?,awan adalah kumpulan titik-titik air atau kristal es yang melayang di udara.,awan putih di langit menandakan banyak uap air di udara.,awan berperan dalam terjadinya hujan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,30,76,37,5,12,apa,Mudah
232,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan danau?,danau adalah kumpulan air yang luas dan dikelilingi daratan.,danau dapat digunakan untuk perikanan dan wisata.,danau menyimpan cadangan air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,31,60,29,5,9,apa,Mudah
233,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan genangan air?,genangan air adalah air yang terkumpul di suatu tempat dan tidak mengalir.,halaman rumah tergenang setelah hujan lebat.,genangan dapat berkurang jika saluran lancar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,38,74,45,6,12,apa,Mudah
234,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air bagi hewan?,air bagi hewan berfungsi untuk minum dan membantu kehidupan mereka.,sapi minum air setiap hari.,hewan tidak dapat hidup tanpa air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,40,67,34,7,10,apa,Sedang
235,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan hujan?,hujan adalah air yang turun dari awan ke bumi dalam bentuk titik-titik air.,"setelah langit mendung, turun hujan di sore hari.",hujan membantu mengisi sungai dan danau.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,31,75,40,5,13,apa,Mudah
236,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan irigasi?,irigasi adalah cara mengalirkan air ke sawah atau lahan pertanian.,petani mengalirkan air ke sawah lewat saluran irigasi.,irigasi membantu tanaman tumbuh baik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,33,66,37,5,10,apa,Mudah
237,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan kualitas air?,kualitas air adalah tingkat kebersihan dan kelayakan air untuk digunakan.,air jernih biasanya lebih mudah dipakai sehari-hari.,kualitas air memengaruhi kesehatan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,38,73,35,6,10,apa,Mudah
238,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan laut?,laut adalah kumpulan air asin yang sangat luas.,kapal berlayar di laut untuk mengangkut barang.,laut memengaruhi cuaca dan siklus air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,30,47,38,5,8,apa,Mudah
239,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan mandi?,mandi adalah kegiatan membersihkan tubuh dengan air dan sabun.,anak mandi dua kali sehari.,mandi membantu tubuh tetap bersih.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,31,62,34,5,9,apa,Mudah
240,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan air bagi manusia?,"air bagi manusia sangat penting untuk minum, mandi, memasak, dan menjaga kesehatan.",kita mandi dengan air setiap hari.,air dibutuhkan tubuh agar tetap sehat.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,42,83,38,7,12,apa,Sedang
241,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan matahari?,matahari adalah sumber cahaya dan panas utama bagi bumi.,jemuran cepat kering saat terkena sinar matahari.,panas matahari memulai proses daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,34,56,39,5,9,apa,Mudah
242,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan mencuci?,mencuci adalah kegiatan membersihkan benda atau pakaian dengan air dan sabun.,pakaian kotor dibersihkan saat mencuci.,mencuci menjaga kebersihan barang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,33,77,34,5,11,apa,Mudah
243,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan menghemat air?,menghemat air berarti memakai air secukupnya dan tidak membuang-buangnya.,menutup keran setelah dipakai adalah contoh hemat air.,air perlu dihemat agar tidak cepat habis.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,39,73,41,6,9,apa,Mudah
244,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan menyiram tanaman?,menyiram tanaman adalah memberikan air pada tanaman agar tetap tumbuh baik.,kita menyiram bunga pagi atau sore.,tanaman perlu air agar tidak layu.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,42,75,34,6,11,apa,Mudah
245,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan minum?,minum adalah memasukkan cairan ke tubuh melalui mulut.,"sebelum belajar, kita minum air putih.",air minum harus bersih.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,31,54,23,5,8,apa,Mudah
246,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan pencemaran air?,pencemaran air adalah masuknya zat kotor ke dalam air sehingga air menjadi tidak bersih.,sungai yang dipenuhi sampah mengalami pencemaran.,air yang tercemar membahayakan makhluk hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/,40,88,45,6,14,apa,Mudah
247,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan pengembunan?,pengembunan adalah perubahan uap air menjadi titik-titik air karena suhu menjadi lebih dingin.,embun di kaca jendela muncul karena pengembunan.,pengembunan terjadi saat uap air mendingin.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,37,94,43,5,13,apa,Mudah
248,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan penghematan air?,penghematan air adalah upaya memakai air dengan hemat dan bijak.,memakai ember saat mencuci motor membantu hemat air.,penghematan air perlu dibiasakan sejak kecil.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,41,64,45,6,10,apa,Mudah
249,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan penguapan?,penguapan adalah perubahan air menjadi uap air karena panas.,genangan air di halaman berkurang saat siang terik.,penguapan menjadi tahap awal daur air.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,35,60,38,5,9,apa,Mudah
250,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan sumber air?,sumber air adalah tempat asal air yang dapat dimanfaatkan manusia dan makhluk hidup.,mata air di pegunungan adalah sumber air alami.,sumber air harus dijaga kelestariannya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,36,84,39,6,13,apa,Mudah
251,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan sumur?,sumur adalah lubang yang dibuat untuk mengambil air tanah.,warga desa mengambil air dari sumur.,sumur perlu dijaga agar tidak tercemar.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/,31,58,39,5,9,apa,Mudah
252,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan sungai?,sungai adalah aliran air alami yang mengalir dari tempat tinggi ke tempat rendah.,orang memakai air sungai untuk irigasi di beberapa daerah.,sungai harus dijaga kebersihannya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,32,81,34,5,13,apa,Mudah
253,air,manfaat air dalam kehidupan sehari-hari,apa yang dimaksud dengan penyerapan air?,penyerapan air adalah proses masuknya air ke dalam tanah atau akar tumbuhan.,air hujan meresap ke tanah setelah turun hujan.,penyerapan air membantu mengisi air tanah.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/,40,76,42,6,12,apa,Mudah
254,benda dan sifatnya,perubahan benda,bagaimana penjelasan perubahan fisika?,perubahan fisika adalah perubahan bentuk atau wujud benda tanpa menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,38,86,164,4,12,bagaimana,Mudah
255,benda dan sifatnya,perubahan benda,bisakah kamu menjelaskan perubahan fisika?,perubahan fisika merupakan perubahan pada benda yang tidak menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,42,81,164,5,11,lainnya,Mudah
256,benda dan sifatnya,perubahan benda,apa pengertian perubahan fisika.,"perubahan fisika terjadi ketika benda berubah wujud, ukuran, atau bentuk, tetapi tetap benda yang sama.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,32,103,164,4,15,apa,Mudah
257,benda dan sifatnya,perubahan benda,bagaimana definisi perubahan fisika.,perubahan fisika adalah perubahan bentuk atau wujud benda tanpa menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,36,86,164,4,12,bagaimana,Mudah
258,benda dan sifatnya,perubahan benda,jelaskan apa itu perubahan fisika.,perubahan fisika merupakan perubahan pada benda yang tidak menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,34,81,164,5,11,jelaskan,Mudah
259,benda dan sifatnya,perubahan benda,apa pengertian perubahan fisika?,"perubahan fisika terjadi ketika benda berubah wujud, ukuran, atau bentuk, tetapi tetap benda yang sama.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,32,103,164,4,15,apa,Mudah
260,benda dan sifatnya,perubahan benda,apa itu definisi perubahan fisika?,perubahan fisika adalah perubahan bentuk atau wujud benda tanpa menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,34,86,164,5,12,apa,Mudah
261,benda dan sifatnya,perubahan benda,bisa jelaskan perubahan fisika?,perubahan fisika merupakan perubahan pada benda yang tidak menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,31,81,164,4,11,lainnya,Mudah
262,benda dan sifatnya,perubahan benda,bagaimana bisakah kamu menjelaskan perubahan fisika?,"perubahan fisika terjadi ketika benda berubah wujud, ukuran, atau bentuk, tetapi tetap benda yang sama.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,52,103,164,6,15,bagaimana,Mudah
263,benda dan sifatnya,perubahan benda,kenapa bisakah kamu menjelaskan perubahan fisika itu penting?,perubahan fisika adalah perubahan bentuk atau wujud benda tanpa menghasilkan zat baru.,"es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,61,86,164,8,12,lainnya,Sedang
264,benda dan sifatnya,perubahan benda,apa pengertian perubahan sifat benda?,"perubahan sifat benda adalah perubahan pada ciri benda, seperti bentuk, warna, atau wujudnya.",kertas yang dilipat berubah bentuk tetapi tetap kertas.,benda dapat mengalami perubahan karena perlakuan tertentu.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,37,93,58,5,13,apa,Mudah
265,benda dan sifatnya,perubahan benda,jelaskan perubahan sifat benda.,perubahan sifat benda berarti perubahan yang membuat benda tampak atau terasa berbeda.,kertas yang dilipat berubah bentuk tetapi tetap kertas.,benda dapat mengalami perubahan karena perlakuan tertentu.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,31,86,58,4,12,jelaskan,Mudah
266,benda dan sifatnya,perubahan benda,apa itu perubahan kimia?,perubahan kimia adalah perubahan benda yang menghasilkan zat baru dan tidak mudah kembali seperti semula.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,24,105,164,4,15,apa,Mudah
267,benda dan sifatnya,perubahan benda,bisakah kamu menjelaskan perubahan kimia?,perubahan kimia terjadi saat suatu benda berubah menjadi zat baru dengan sifat yang berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,41,92,164,5,14,lainnya,Mudah
268,benda dan sifatnya,perubahan benda,apa pengertian perubahan kimia.,perubahan kimia merupakan perubahan yang menghasilkan zat baru dan biasanya sulit dibalik.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,31,90,164,4,12,apa,Mudah
269,benda dan sifatnya,perubahan benda,bagaimana definisi perubahan kimia.,perubahan kimia adalah perubahan benda yang menghasilkan zat baru dan tidak mudah kembali seperti semula.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,35,105,164,4,15,bagaimana,Mudah
270,benda dan sifatnya,perubahan benda,jelaskan apa itu perubahan kimia.,perubahan kimia terjadi saat suatu benda berubah menjadi zat baru dengan sifat yang berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,33,92,164,5,14,jelaskan,Mudah
271,benda dan sifatnya,perubahan benda,apa sebenarnya perubahan kimia itu?,perubahan kimia merupakan perubahan yang menghasilkan zat baru dan biasanya sulit dibalik.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,35,90,164,5,12,apa,Mudah
272,benda dan sifatnya,perubahan benda,apa itu definisi perubahan kimia?,perubahan kimia adalah perubahan benda yang menghasilkan zat baru dan tidak mudah kembali seperti semula.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,33,105,164,5,15,apa,Mudah
273,benda dan sifatnya,perubahan benda,apa yang dimaksud dengan perubahan kimia?,perubahan kimia terjadi saat suatu benda berubah menjadi zat baru dengan sifat yang berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,41,92,164,6,14,apa,Mudah
274,benda dan sifatnya,perubahan benda,bagaimana bisakah kamu menjelaskan perubahan kimia?,perubahan kimia merupakan perubahan yang menghasilkan zat baru dan biasanya sulit dibalik.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,51,90,164,6,12,bagaimana,Mudah
275,benda dan sifatnya,perubahan benda,kenapa bisakah kamu menjelaskan perubahan kimia itu penting?,perubahan kimia adalah perubahan benda yang menghasilkan zat baru dan tidak mudah kembali seperti semula.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,60,105,164,8,15,lainnya,Sedang
276,benda dan sifatnya,perubahan benda,apa yang terjadi pada air jika direbus terus-menerus sampai habis?,air akan menguap menjadi uap air jika direbus terus-menerus sampai habis.,baju basah yang dijemur di bawah matahari lama-lama jadi kering karena airnya 'terbang' ke udara sebagai uap,"benda bisa berubah wujud karena dipanaskan atau didinginkan, seperti es yang mencair atau air yang membeku",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,66,73,106,10,11,apa,Sedang
277,benda dan sifatnya,perubahan benda,bagaimana yang terjadi pada air jika direbus terus-menerus sampai habis?,"jika terus dipanaskan, air akan berubah menjadi uap dan lama-kelamaan habis.","contoh lainnya, baju basah yang dijemur di bawah matahari lama-lama jadi kering karena airnya 'terbang' ke udara sebagai uap","dalam kehidupan sehari-hari, benda bisa berubah wujud karena dipanaskan atau didinginkan, seperti es yang mencair atau air yang membeku",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,72,76,135,10,11,bagaimana,Sedang
278,benda dan sifatnya,perubahan benda,kenapa apa yang terjadi pada air jika direbus terus-menerus sampai habis?,air akan menguap menjadi uap air jika direbus terus-menerus sampai habis.,"dalam situasi berbeda, baju basah yang dijemur di bawah matahari lama-lama jadi kering karena airnya 'terbang' ke udara sebagai uap","untuk lebih memahami, benda bisa berubah wujud karena dipanaskan atau didinginkan, seperti es yang mencair atau air yang membeku",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/,73,73,128,11,11,lainnya,Kompleks
279,benda dan sifatnya,perubahan benda,kenapa air yang dipanaskan terus-menerus bisa habis?,air habis karena terus berubah menjadi uap air saat dipanaskan.,"saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,52,63,164,7,10,lainnya,Sedang
280,benda dan sifatnya,perubahan benda,apa alasan air yang dipanaskan terus-menerus bisa habis?,air dapat habis karena panas membuatnya menguap ke udara.,"saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,56,57,164,8,9,apa,Sedang
281,benda dan sifatnya,perubahan benda,mengapa air yang dipanaskan terus-menerus bisa habis?,air habis karena terus berubah menjadi uap air saat dipanaskan.,"saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,53,63,164,7,10,mengapa,Sedang
282,benda dan sifatnya,perubahan benda,apa alasan air yang dipanaskan terus-menerus bisa habis.,air dapat habis karena panas membuatnya menguap ke udara.,"saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,56,57,164,8,9,apa,Sedang
283,benda dan sifatnya,perubahan benda,apa sebab air yang dipanaskan terus-menerus bisa habis.,air habis karena terus berubah menjadi uap air saat dipanaskan.,"saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/,55,63,164,8,10,apa,Sedang
