no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber
670,organ tubuh manusia dan hewan,alat pencernaan pada manusia,bagaimana cacing tanah bernapas?,cacing tanah bernapas melalui kulit yang lembap.,cacing dapat hidup di tanah yang basah.,kulit yang lembap membantu cacing mengambil oksigen.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/
671,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,apa yang dimaksud pemantulan cahaya?,"itu terjadi karena adanya pembiasan cahaya, yaitu pembelokan arah cahaya saat pindah dari udara ke dalam air yang lebih rapat.",cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
672,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,apa pengertian pemantulan cahaya?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
673,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,jelaskan pemantulan cahaya.,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
674,cahaya dan sifat-sifatnya,pemantulan cahaya,apa pengertian pemantulan cahaya.,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
675,cahaya dan sifat-sifatnya,pemantulan cahaya,bagaimana definisi pemantulan cahaya.,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
676,cahaya dan sifat-sifatnya,pemantulan cahaya,jelaskan apa itu pemantulan cahaya.,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cahaya lampu dipantulkan oleh cermin datar.,pemantulan membuat kita dapat melihat bayangan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
677,cahaya dan sifat-sifatnya,sumber cahaya,apa itu alami dan buatan?,"cahaya alami: matahari, bintang, cahaya bulan. cahaya buatan: lampu pijar, lampu fluoresen, led, lilin.",kamu pasti pernah lihat: sumber cahaya menghasilkan energi cahaya melalui proses berbeda.,penting: pemilihan sumber cahaya penting untuk efisiensi energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
678,cahaya dan sifat-sifatnya,sumber cahaya,bisa jelaskan tentang alami dan buatan?,"cahaya alami: matahari, bintang, cahaya bulan. cahaya buatan: lampu pijar, lampu fluoresen, led, lilin.",sumber cahaya menghasilkan energi cahaya melalui proses berbeda.,pemilihan sumber cahaya penting untuk efisiensi energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
679,cahaya dan sifat-sifatnya,sumber cahaya,jelaskan alami dan buatan!,"cahaya alami: matahari, bintang, cahaya bulan. cahaya buatan: lampu pijar, lampu fluoresen, led, lilin.","misalnya, sumber cahaya menghasilkan energi cahaya melalui proses berbeda.","ingat ya, pemilihan sumber cahaya penting untuk efisiensi energi.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
680,cahaya dan sifat-sifatnya,sumber cahaya,sebutkan sumber-sumber cahaya alami dan buatan!,"cahaya alami: matahari, bintang, cahaya bulan. cahaya buatan: lampu pijar, lampu fluoresen, led, lilin.",sumber cahaya menghasilkan energi cahaya melalui proses berbeda.,pemilihan sumber cahaya penting untuk efisiensi energi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
681,cahaya dan sifat-sifatnya,pemantulan cahaya,menurutmu apa itu pemantulan cahaya?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.","misalnya, cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.","ingat ya, pemantulan cahaya digunakan dalam berbagai instrumen optik.",https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
682,cahaya dan sifat-sifatnya,pemantulan cahaya,apa yang kamu tahu tentang pemantulan cahaya?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",kamu pasti pernah lihat: pemantulan cahaya adalah bagian penting dari pemantulan cahaya.,penting: pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
683,cahaya dan sifat-sifatnya,pemantulan cahaya,sebutkan pemantulan cahaya!,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
684,cahaya dan sifat-sifatnya,pemantulan cahaya,coba ceritakan tentang pemantulan cahaya.,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",pemantulan cahaya adalah bagian penting dari pemantulan cahaya.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
685,cahaya dan sifat-sifatnya,pemantulan cahaya,apa yang dimaksud dengan pemantulan cahaya?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.","misalnya, cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.","ingat ya, pemantulan cahaya digunakan dalam berbagai instrumen optik.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
686,cahaya dan sifat-sifatnya,pemantulan cahaya,jelaskan karakteristik pemantulan cahaya!,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
687,cahaya dan sifat-sifatnya,pemantulan cahaya,apa maksud dari pemantulan cahaya?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
688,cahaya dan sifat-sifatnya,pemantulan cahaya,jelaskan tentang pemantulan cahaya.,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",kamu pasti pernah lihat: cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,penting: pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
689,cahaya dan sifat-sifatnya,pemantulan cahaya,pemantulan cahaya itu apa?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.","misalnya, pemantulan cahaya adalah bagian penting dari pemantulan cahaya.","ingat ya, pemantulan cahaya digunakan dalam berbagai instrumen optik.",https://www.omahbse.com/ktsp/file/sd-5_ipa_006/
690,cahaya dan sifat-sifatnya,pemantulan cahaya,jelaskan tentang pemantulan cahaya!,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",pemantulan cahaya adalah bagian penting dari pemantulan cahaya.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
691,cahaya dan sifat-sifatnya,pemantulan cahaya,bagaimana penjelasan pemantulan cahaya?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
692,cahaya dan sifat-sifatnya,pemantulan cahaya,apa sebenarnya pemantulan cahaya itu?,"aplikasi pemantulan cahaya: cermin untuk rias, cermin spion kendaraan, periskop untuk melihat tempat tinggi, teleskop refleksi untuk astronomi, dan lampu sorot untuk penerangan.",kamu pasti pernah lihat: cermin datar menghasilkan bayangan maya yang sama besar dengan benda asli.,penting: pemantulan cahaya digunakan dalam berbagai instrumen optik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
693,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,apa yang dimaksud cahaya putih?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
694,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,apa pengertian cahaya putih?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
695,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,jelaskan cahaya putih.,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
696,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,apa pengertian cahaya putih.,cahaya putih adalah gabungan dari berbagai warna cahaya.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
697,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,bagaimana definisi cahaya putih.,cahaya putih adalah gabungan dari berbagai warna cahaya.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
698,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,jelaskan apa itu cahaya putih.,cahaya putih adalah gabungan dari berbagai warna cahaya.,prisma dapat menguraikan cahaya putih.,cahaya matahari tampak putih tetapi terdiri dari banyak warna.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
699,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,mengapa cahaya lilin tidak terlihat jika karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar.",sifat cahaya merambat lurus dapat dibuktikan dengan percobaan sederhana.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
700,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,kenapa cahaya lilin tidak terlihat jika karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar.",sifat cahaya merambat lurus dapat dibuktikan dengan percobaan sederhana.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
701,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,bagaimana cahaya lilin tidak terlihat jika karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar.",sifat cahaya merambat lurus dapat dibuktikan dengan percobaan sederhana.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
702,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,kenapa cahaya lilin tidak terlihat kalau karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar. peristiwa ini membantu kita memahami bahwa cahaya tidak berbelok bebas, melainkan bergerak mengikuti arah lurus.",cahaya merambat mengikuti garis lurus selama tidak terhalang benda lain. sifat ini bisa dibuktikan melalui percobaan sederhana dengan karton berlubang dan lilin.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
703,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,apa alasan cahaya lilin tidak terlihat kalau karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar. peristiwa ini membantu kita memahami bahwa cahaya tidak berbelok bebas, melainkan bergerak mengikuti arah lurus.",cahaya merambat mengikuti garis lurus selama tidak terhalang benda lain. sifat ini bisa dibuktikan melalui percobaan sederhana dengan karton berlubang dan lilin.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
704,cahaya dan sifat-sifatnya,sifat cahaya pada berbagai benda,mengapa cahaya lilin tidak terlihat kalau karton digeser?,cahaya lilin tidak terlihat jika karton digeser karena cahaya merambat lurus.,"pada percobaan tiga karton berlubang, nyala lilin hanya terlihat jika lubangnya sejajar. peristiwa ini membantu kita memahami bahwa cahaya tidak berbelok bebas, melainkan bergerak mengikuti arah lurus.",cahaya merambat mengikuti garis lurus selama tidak terhalang benda lain. sifat ini bisa dibuktikan melalui percobaan sederhana dengan karton berlubang dan lilin.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
705,cahaya dan sifat-sifatnya,sifat perambatan cahaya,apa itu sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,sifat perambatan cahaya adalah bagian penting dari sifat perambatan cahaya.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
706,cahaya dan sifat-sifatnya,sifat perambatan cahaya,apa kegunaan sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,kamu pasti pernah lihat: cahaya merambat dengan kecepatan 300.000 km/s.,penting: sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
707,cahaya dan sifat-sifatnya,sifat perambatan cahaya,jelaskan karakteristik sifat perambatan cahaya!,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,cahaya merambat dengan kecepatan 300.000 km/s.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
708,cahaya dan sifat-sifatnya,sifat perambatan cahaya,jelaskan tentang sifat perambatan cahaya!,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,sifat perambatan cahaya adalah bagian penting dari sifat perambatan cahaya.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
709,cahaya dan sifat-sifatnya,sifat perambatan cahaya,untuk apa sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,kamu pasti pernah lihat: sifat perambatan cahaya adalah bagian penting dari sifat perambatan cahaya.,penting: sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
710,cahaya dan sifat-sifatnya,sifat perambatan cahaya,apa tugas sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,cahaya merambat dengan kecepatan 300.000 km/s.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
711,cahaya dan sifat-sifatnya,sifat perambatan cahaya,sebutkan sifat perambatan cahaya!,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,cahaya merambat dengan kecepatan 300.000 km/s.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
712,cahaya dan sifat-sifatnya,sifat perambatan cahaya,jelaskan sifat perambatan cahaya!,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,"misalnya, cahaya merambat dengan kecepatan 300.000 km/s.","ingat ya, sifat cahaya menjadi dasar teknologi optik modern.",https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
713,cahaya dan sifat-sifatnya,sifat perambatan cahaya,jelaskan tentang sifat perambatan cahaya.,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,"misalnya, cahaya merambat dengan kecepatan 300.000 km/s.","ingat ya, sifat cahaya menjadi dasar teknologi optik modern.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
714,cahaya dan sifat-sifatnya,sifat perambatan cahaya,bagaimana penjelasan sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,"misalnya, sifat perambatan cahaya adalah bagian penting dari sifat perambatan cahaya.","ingat ya, sifat cahaya menjadi dasar teknologi optik modern.",https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
715,cahaya dan sifat-sifatnya,sifat perambatan cahaya,apa manfaat sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,kamu pasti pernah lihat: cahaya merambat dengan kecepatan 300.000 km/s.,penting: sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
716,cahaya dan sifat-sifatnya,sifat perambatan cahaya,bisa jelaskan tentang sifat perambatan cahaya?,sifat perambatan cahaya memiliki fungsi memungkinkan kita melihat dan menggunakan cahaya untuk berbagai keperluan.,cahaya merambat dengan kecepatan 300.000 km/s.,sifat cahaya menjadi dasar teknologi optik modern.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
717,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,"jika dijelaskan sebagai gabungan dari berbagai warna cahaya, jawabannya adalah .",cahaya putih adalah gabungan dari berbagai warna cahaya.,"contohnya ketika pelangi muncul setelah hujan, cahaya putih dibutuhkan","cahaya putih dapat diuraikan menjadi berbagai warna. dengan begitu, cahaya putih dapat bekerja secara tepat.",https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
718,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,apa sebutan untuk gabungan dari berbagai warna cahaya?,cahaya putih adalah gabungan dari berbagai warna cahaya.,sinar matahari melewati prisma menunjukkan peran cahaya putih,cahaya putih dapat diuraikan menjadi berbagai warna. situasi sinar matahari melewati prisma membantu memperjelas perannya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
719,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,bagian manakah yang dimaksud dengan gabungan dari berbagai warna cahaya?,cahaya putih adalah gabungan dari berbagai warna cahaya.,cahaya putih membantu pada saat warna-warna terlihat berurutan,cahaya putih dapat diuraikan menjadi berbagai warna. penjelasan ini cocok untuk memahami warna-warna terlihat berurutan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
720,cahaya dan sifat-sifatnya,cahaya putih gabungan dari berbagai warna cahaya,sebutkan bagian yang sesuai dengan uraian gabungan dari berbagai warna cahaya.,cahaya putih adalah gabungan dari berbagai warna cahaya.,pelangi muncul setelah hujan,cahaya putih dapat diuraikan menjadi berbagai warna. contoh situasinya: pelangi muncul setelah hujan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_005/
721,adaptasi makhluk hidup,adaptasi makhluk hidup,apa fungsi cangkang pada kura-kura?,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
722,adaptasi makhluk hidup,adaptasi makhluk hidup,apa itu cangkang pada kura-kura?,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
723,adaptasi makhluk hidup,adaptasi makhluk hidup,apa yang dimaksud dengan cangkang pada kura-kura?,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
724,alat pernapasan manusia dan hewan,fungsi rongga hidung,apa itu hidung dengan benar?,"jika rongga hidung tersumbat, udara sulit masuk, sehingga seseorang terpaksa bernapas melalui mulut yang kurang efisien dan udara tidak tersaring dengan baik.",membersihkan hidung secara lembut dan hati-hati dapat mencegah luka dan perdarahan.,kebersihan hidung adalah bagian dari perawatan kesehatan pernapasan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
725,alat pernapasan manusia dan hewan,fungsi rongga hidung,bisa jelaskan tentang hidung dengan benar?,"jika rongga hidung tersumbat, udara sulit masuk, sehingga seseorang terpaksa bernapas melalui mulut yang kurang efisien dan udara tidak tersaring dengan baik.",kamu pasti pernah lihat: membersihkan hidung secara lembut dan hati-hati dapat mencegah luka dan perdarahan.,penting: kebersihan hidung adalah bagian dari perawatan kesehatan pernapasan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
726,alat pernapasan manusia dan hewan,fungsi rongga hidung,jelaskan hidung dengan benar!,"jika rongga hidung tersumbat, udara sulit masuk, sehingga seseorang terpaksa bernapas melalui mulut yang kurang efisien dan udara tidak tersaring dengan baik.","misalnya, membersihkan hidung secara lembut dan hati-hati dapat mencegah luka dan perdarahan.","ingat ya, kebersihan hidung adalah bagian dari perawatan kesehatan pernapasan.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
727,alat pernapasan manusia dan hewan,fungsi rongga hidung,bagaimana cara membersihkan rongga hidung dengan benar?,"cara membersihkan hidung: gunakan tisu lembut, jangan mengorek hidung dengan benda tajam, bisa membilas dengan air garam hangat jika perlu, hindari pembersih yang terlalu keras.",membersihkan hidung secara lembut dan hati-hati dapat mencegah luka dan perdarahan.,kebersihan hidung adalah bagian dari perawatan kesehatan pernapasan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_006/
728,sumber daya alam dan kegunaannya,konservasi sumber daya,apa itu sumber daya alam?,"cara menjaga sumber daya: penghijauan, pembatasan penambangan, pencegahan polusi, pendidikan lingkungan, dan regulasi pemerintah untuk eksploitasi berkelanjutan.",kamu pasti pernah lihat: tanggung jawab pelestarian adalah tanggung jawab bersama semua orang.,penting: sumber daya alam yang terjaga akan tersedia untuk generasi mendatang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
729,sumber daya alam dan kegunaannya,konservasi sumber daya,bagaimana sumber daya alam?,"cara menjaga sumber daya: penghijauan, pembatasan penambangan, pencegahan polusi, pendidikan lingkungan, dan regulasi pemerintah untuk eksploitasi berkelanjutan.",tanggung jawab pelestarian adalah tanggung jawab bersama semua orang.,sumber daya alam yang terjaga akan tersedia untuk generasi mendatang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
730,sumber daya alam dan kegunaannya,konservasi sumber daya,bagaimana cara menjaga kelestarian sumber daya alam?,"cara menjaga sumber daya: penghijauan, pembatasan penambangan, pencegahan polusi, pendidikan lingkungan, dan regulasi pemerintah untuk eksploitasi berkelanjutan.",tanggung jawab pelestarian adalah tanggung jawab bersama semua orang.,sumber daya alam yang terjaga akan tersedia untuk generasi mendatang.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
731,sumber daya alam dan kegunaannya,konservasi sumber daya,jelaskan sumber daya alam!,"cara menjaga sumber daya: penghijauan, pembatasan penambangan, pencegahan polusi, pendidikan lingkungan, dan regulasi pemerintah untuk eksploitasi berkelanjutan.","misalnya, tanggung jawab pelestarian adalah tanggung jawab bersama semua orang.","ingat ya, sumber daya alam yang terjaga akan tersedia untuk generasi mendatang.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
732,alat pernapasan manusia dan hewan,sistem pernapasan manusia,jelaskan kesehatan sistem pernapasan!,"alat pernapasan manusia meliputi rongga hidung, trakea, bronkus, paru-paru, dan diafragma yang bekerja sama dalam proses bernapas.","misalnya, kebiasaan hidup sehat mulai dari sekarang dapat mencegah penyakit pernapasan di masa depan.","ingat ya, kesehatan paru-paru adalah investasi jangka panjang untuk kualitas hidup yang baik.",https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
733,alat pernapasan manusia dan hewan,sistem pernapasan manusia,apa saja kesehatan sistem pernapasan?,"alat pernapasan manusia meliputi rongga hidung, trakea, bronkus, paru-paru, dan diafragma yang bekerja sama dalam proses bernapas.",kamu pasti pernah lihat: kebiasaan hidup sehat mulai dari sekarang dapat mencegah penyakit pernapasan di masa depan.,penting: kesehatan paru-paru adalah investasi jangka panjang untuk kualitas hidup yang baik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
734,alat pernapasan manusia dan hewan,sistem pernapasan manusia,bagaimana cara merawat kesehatan sistem pernapasan?,"alat pernapasan manusia meliputi rongga hidung, trakea, bronkus, paru-paru, dan diafragma yang bekerja sama dalam proses bernapas.",kebiasaan hidup sehat mulai dari sekarang dapat mencegah penyakit pernapasan di masa depan.,kesehatan paru-paru adalah investasi jangka panjang untuk kualitas hidup yang baik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
735,alat pernapasan manusia dan hewan,sistem pernapasan manusia,sebutkan kesehatan sistem pernapasan!,"alat pernapasan manusia meliputi rongga hidung, trakea, bronkus, paru-paru, dan diafragma yang bekerja sama dalam proses bernapas.",kebiasaan hidup sehat mulai dari sekarang dapat mencegah penyakit pernapasan di masa depan.,kesehatan paru-paru adalah investasi jangka panjang untuk kualitas hidup yang baik.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
